Line;Source-DE;Target-DE;Generated-Output;Accuracy;Chrf;Source-EN;Base-DE
768;Eintrag;Eintrag;Einträge;0;0.7594936708860759;Invalid tagless entry in style definition group s;Ungültiger Eintrag ohne Markierung in Stildefinitionsgruppe »s«
1016;Eintrag;Eintrags;Einträge;0;0.75;Error updating Client record ERRs;Fehler beim Aktualisieren des Client Eintrags ERRs
1050;Eintrag;Eintrag;Einträge;0;0.7594936708860759;More than one Storage record d;Mehr als ein Storage Eintrag d
1053;Eintrag;Eintrags;Einträge;0;0.75;Create db Filename record s failed ERRs;Erzeugung des db Filename Eintrags s fehlgeschlagen ERRs
1055;Eintrag;Eintrag;Einträge;0;0.7594936708860759;Media record MediaIds not found;Media Eintrag MediaIds nicht gefunden
1456;Eintrag;Einträge;Einträge;1;1.0;Remove directories from stack Removes entries from the directory stack With no arguments removes the top directory from the stack and changes to the new top directory Options ntSuppresses the normal change of directory when removing tdirectories from the stack so only the stack is manipulated Arguments NtRemoves the Nth entry counting from the left of the list tshown by dirs starting with zero For example popd  tremoves the first directory popd  the second NtRemoves the Nth entry counting from the right of the list tshown by dirs starting with zero For example popd  tremoves the last directory popd  the next to last The dirs builtin displays the directory stack Exit Status Returns success unless an invalid argument is supplied or the directory change fails;Entfernt Einträge vom Verzeichnisstapel Entfernt Einträge vom Verzeichnisstapel Ohne Argumente wird die Spitze des Stapels entfernt und in das Verzeichnis gewechselt das dann an der Spitze steht Optionen ntEntfernt nur den Verzeichniseintrag und wechselt nicht tttdas Verzeichnis Argumente NtEntfernt den Nten Eintrag von links gezählt von Null aus der tttvon »dirs« anzeigten Liste Beispielsweise entfernen »popd « tttden ersten und »popd « den zweiten Verzeichniseintrag NtEntfernt den Nten Eintrag von rechts gezählt von Null tttaus der von »dirs« angezeigten Liste Beispielsweise entfernen ttt»popd « den letzten und »popd « den vorletzten tttVerzeichniseintrag Mit »dirs« kann der Verzeichnisstapel angezeigt werden Rückgabewert Gibt  zurück außer wenn ein ungültiges Argument angegeben wurde oder der Verzeichniswechsel nicht erfolgreich war
2533;Eintrag;Einträge;Einträge;1;1.0;Entries;Einträge
3109;Eintrag;Einträge;Einträge;1;1.0;line defines how the entries in the index are composed;legt das Aussehen der Einträge fest
3249;Eintrag;Eintrag;Einträge;0;0.7594936708860759;Enter a new item;Fügen Sie einen neuen Eintrag hinzu
3323;Eintrag;Einträge;Einträge;1;1.0;Entries;Einträge
