Line;Source-DE;Target-DE;Generated-Output;Accuracy;Chrf;Source-EN;Base-DE
21928;Version;version;version;1;1.0;For a detailed white paper on this subject from version 2012, see {1}http://autodesk.com/showcase-otherdocs{2}http://autodesk.com/showcase-otherdocs{3}.;Ein detailliertes White Paper zu diesem Thema aus Version 2012 finden Sie unter {1}http://autodesk.com/showcase-otherdocs{2}http://autodesk.com/showcase-otherdocs{3}.
21065;Registerkarte;Registerkarte;Registerkarte;1;1.0;Tables in the Colors panel list UI elements, instead.;Die Tabellen auf der Registerkarte Farben enthalten stattdessen eine Liste der UI-Elemente.
125;Zeichenkette;Zeichenkette;Zeichenkette;1;1.0;Unable to parse channel map string: ;Die Zeichenkette für die Kanalaufstellung konnte nicht verstanden werden: 
14152;Reihe;Reihen;Reihen;1;1.0;When safe mode is enabled, PHP checks whether the files or directories you are about to operate on have the same UID (owner) as the script that is being executed.;Gibt die Anzahl der Reihen in der geöffneten filePro Datenbank zurück.
19622;Element;Elemente;Elemente;1;1.0;Unlike {1}ProdName{2} models, you cannot access the sketches or features used to create a base solid.;Im Gegensatz zu {1}ProdName{2}-Modellen können Sie auf die Skizzen oder Elemente, mit denen ein Basisvolumenkörper erstellt wurde, nicht zugreifen.
12124;Datum;Daten;Daten;1;1.0;to insert the selected data into the document as fields.;, damit die ausgewählten Daten als Felder in das Dokument eingefügt werden.
24036;Importieren;importieren;importieren;1;1.0;{1}This hotfix repairs Roombook Surface Material Styles import failure issue in German version.{2};{1}Dieses Hotfix behebt Fehler beim Importieren von Raumbuch-Oberflächenmaterialstilen in der deutschen Version.{2}
8412;Feldauswahl;Feldauswahl;Feldauswahl;1;1.0;Query Wizard - Field selection;Abfrage-Assistent – Feldauswahl
19106;Geometrie;Geometrie;Geometrie;1;1.0;Creates a space warp that produces a spiral effect in an object's geometry in world space.;Erstellt einen Space Warp, der in der Welt einen Spiraleffekt in der Geometrie eines Objekts generiert.
21228;Administrator;Administrator;Administrator;1;1.0;It is the same tab but your Administrator has changed its name to something that makes more sense within the context of your PLM solution.;Diese Registerkarte ist die gleiche, aber Ihr Administrator hat den Namen in einen aussagekräftigeren Namen für Ihre PLM-Lösung umbenannt.
1544;Argument;argument;Argumente;0;0.7865168539325842;echo [-n] [arg ...];echo [-n] [Argument ...]
20864;Arbeitsablaufübersicht;Arbeitsablaufübersicht;Arbeitsablaufübersicht;1;1.0;The workflow map is a graphical and interactive representation of the workflow associated with the current item.;Die Arbeitsablaufübersicht ist eine grafische und interaktive Darstellung des mit dem aktuellen Artikel verbundenen Arbeitsablaufs.
26144;-Konto;-Konto;-Konto;1;1.0;Once you have set up your BIM 360™ account and installed your iPad application, you do the following:;Nachdem Sie Ihr BIM 360™-Konto eingerichtet und Ihre iPad-Anwendung installiert haben, führen Sie die folgenden Schritte aus:
7174;Zellbezüge;Zellbezüge;Zellbezüge;1;1.0;Enter the cell references for the cells containing the formulae that you want to use in the multiple operation.;Geben Sie die Zellbezüge für die Zellen mit den Formeln ein, die in der Mehrfachoperation verwendet werden sollen.
18554;Sites;sites;sites;1;1.0;This procedure applies to Single Site, Multi Site and Connected Workgroup deployments.;Dieses Verfahren gilt für Einrichtungen mit einzelnen Sites, mehreren Sites und verbundenen Arbeitsgruppen.
15322;Spaltennummer;Spaltennummer;Spaltennummer;1;1.0;field can either be an integer containing the column number of the field you want; or it can be a string containing the name of the field.;Der Feldparameter field kann entweder der Integerwert der Spaltennummer oder ein String mit dem Spaltennamen sein.
2188;Diagramme;Diagramme;Diagramme;1;1.0;Choose Insert - Trend Lines (Charts);Wählen Sie Einfügen - Trendlinien (Diagramme)
8534;Datenbankverbindung;datenbankverbindung;datenbankverbindung;1;1.0;If you open the Database Wizard to create a database file for an existing database connection, there may be more steps to specify paths, authentication information, and more.;Wenn Sie den Datenbank-Assistenten zum Erstellen einer Datenbankdatei für eine vorhandene Datenbankverbindung öffnen, können mehr Schritte vorhanden sein - zum Festlegen von Pfaden, von Authentifizierungsinformationen usw.
31171;Längsschnitt;Längsschnitte;Längsschnitt;0;0.9917355371900827;The profiles are imported as {1}AutoCAD Civil 3D{2} profile objects.;Die Längsschnitte werden als {1}AutoCAD Civil 3D{2}-Längsschnittobjekte importiert.
7710;Montag;Montag;Montag;1;1.0;2 = Monday;2 = Montag
5125;Leerzeichen;Leerzeichen;Leerzeichen;1;1.0;A numerical variable is read up to the first carriage return (Asc=13), line feed (Asc=10), space, or comma.;Numerische Variablen werden bis zum ersten Wagenrücklauf (Asc=13), Zeilenvorschub (Asc=10), Leerzeichen oder Komma gelesen.
28921;Projekt;Projekt;Projekt;1;1.0;In {1}Construction & Earthwork Costs Settings{2}, edit the values in the {3}Unit Price{4} column to suit the project.;Bearbeiten Sie in {1}Kosteneinstellungen für Bau- und Erdarbeiten{2} die Werte in der Spalte {3}Stückpreis{4}, um sie an das Projekt anzupassen.
11279;Seitenvorlage;Seitenvorlage;Seitenvorlage;1;1.0;Adds a header to the current page style.;Fügt eine Kopfzeile in die aktuelle Seitenvorlage ein.
2892;Basis;basis;basis;1;1.0;Draws a cone that is based on a circle where you drag in the slide.;Zeichnet einen Kegel mit kreisförmiger Basis, wenn Sie in der Folie ziehen.
6639;Datum;Daten;Daten;1;1.0;Marks all cells in the sheet that contain values outside the validation rules.;Hebt alle Zellen der Tabelle hervor, deren Daten die Gültigkeitskriterien nicht erfüllen.
29215;Revision;revision;revision;1;1.0;When the item is made obsolete, {1}OBS{2} is used as the revision.;Wenn der Artikel den Status Veraltet erhält, wird als Revision {1}OBS{2} verwendet.
18072;Befehl;Befehl;Befehl;1;1.0;Remove a Command or Control from a Toolbar Preview;Einen Befehl oder ein Steuerelement aus einer Werkzeugkastenvoransicht entfernen
19501;Befehlszeilenfunktionen;Befehlszeilenfunktionen;Befehlszeilenfunktionen;1;1.0;Much of the new command line functionality including AutoCorrect, mid-string search, and adaptive suggestions is also available using dynamic input.;Viele der neuen Befehlszeilenfunktionen, einschließlich der AutoKorrektur, der Suche innerhalb von Zeichenfolgen und der adaptiven Vorschläge, sind auch über die dynamische Eingabe verfügbar.
28215;Analysis;analysis;analysis;1;1.0;Energy Analysis for Revit uses simple, logical analysis settings that scale with learning and design information.;Energy Analysis für Revit verwendet einfache, logische Analyseeinstellungen, die mit zugehörigen Lern- und Design-Informationen einhergehen.
17512;Beispiel;Beispielen;Beispiel;0;0.9756097560975611;You may plead that the attacker must possess a piece of information about the database schema in most examples.;Sie könnten sich nun darauf berufen, dass der Angreifer in den meisten Beispielen ein Stück Information über das Datenbankschema haben muss.
10196;Bild;Bild;Bilder;0;0.689655172413793;Picture;Bild
21515;Marke;Marken;Marken;1;1.0;Privacy Policy - Legal Notice & Trademarks;Datenschutzrichtlinie - Rechtliche Hinweise und Marken
9061;Impress;impress;impress;1;1.0;14588;Array;array;array;1;1.0;(PHP 3 = 3.0.3, PHP 4);Diese Funktion liefert die Indizes der Nachrichten eines Postfachs als sortiertes Array zurück.
15965;Anfang;Anfang;Anfang;1;1.0;Home;Zum Anfang
17715;Volumenkörperprotokoll;Volumenkörperprotokoll;Volumenkörperprotokoll;1;1.0;In the Properties window, Solid History area, under History, select None.;Wählen Sie im Fenster Eigenschaften im Bereich Volumenkörperprotokoll unter Protokoll die Option Keine.
15203;Ankündigung;Ankündigung;Ankündigung;1;1.0;The behaviour of this function, the name of this function, and anything else documented about this function may change without notice in a future release of PHP.;Das Verhalten, der Funktionsname und alles Andere was hier dokumentiert ist, kann sich in zukünftigen PHP-Versionen ohne Ankündigung ändern.
16744;Variable;Variablen;Variablen;1;1.0;Instead, in order to be able to access it' s own functions and variables from within a class, one can use the pseudo-variable $this which can be read as'my own 'or'current object'.;Um nun die eigenen Funktionen und Variablen innerhalb einer Klasse anzusprechen, können Sie die Pseudo-Variable $this verwenden, welche Sie auch als 'meine eigene' oder 'aktuelles Objekt 'verstehen können.
17572;Variable;variable;variable;1;1.0;You may also want to consider turning off register_globals, magic_quotes, or other convenience settings which may confuse you as to the validity, source, or value of a given variable.;Sie könnten auch Überlegungen anstellen, ob Sie nicht register_globals, magic_quotes, oder andere bequeme Einstellungen abschalten, welche Sie in Punkto Gültigkeit, Herkunft, oder Inhalt einer gegebenen Variable durcheinanderbringen könnten.
